no,topic,description,example
777,Radiative Transfer Equation in Cylindrical Shell,"Radiative Transfer Equation in Cylindrical Shell: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
778,Radiative Transfer Equation in Spherical Capacitor,"Radiative Transfer Equation in Spherical Capacitor: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
779,Radiative Transfer Equation in Coil Pair (Helmholtz),"Radiative Transfer Equation in Coil Pair (Helmholtz): definition, governing equations, and typical applications.","Ideal gas: pV=nRT. Example: n=1 mol, T=300 K, V=0.024 m³ ⇒ p≈1.04×10⁵ Pa."
780,Radiative Transfer Equation in Dipole Field,"Radiative Transfer Equation in Dipole Field: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
781,Radiative Transfer Equation in Quadrupole Field,"Radiative Transfer Equation in Quadrupole Field: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
782,Radiative Transfer Equation in Vacuum,"Radiative Transfer Equation in Vacuum: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
783,Radiative Transfer Equation in Dielectric Medium,"Radiative Transfer Equation in Dielectric Medium: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
784,Radiative Transfer Equation in Conducting Medium,"Radiative Transfer Equation in Conducting Medium: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
785,Radiative Transfer Equation in Anisotropic Medium,"Radiative Transfer Equation in Anisotropic Medium: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
786,Radiative Transfer Equation in Superconductor,"Radiative Transfer Equation in Superconductor: definition, governing equations, and typical applications.",Semiconductor diode: I≈I₀(e^{qV/kT}−1). Example: V=0.7 V at 300 K ⇒ forward conduction.
787,Radiative Transfer Equation in Plasma,"Radiative Transfer Equation in Plasma: definition, governing equations, and typical applications.","Debye length: λ_D=√(ε₀kT/(n_e e²)). Example: n_e=10¹⁶ m⁻³, T=10⁴ K ⇒ λ_D ~ 2×10⁻⁵ m."
788,Radiative Transfer Equation in Semiconductor,"Radiative Transfer Equation in Semiconductor: definition, governing equations, and typical applications.",Semiconductor diode: I≈I₀(e^{qV/kT}−1). Example: V=0.7 V at 300 K ⇒ forward conduction.
789,Radiative Transfer Equation in Ferromagnetic Material,"Radiative Transfer Equation in Ferromagnetic Material: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
790,Radiative Transfer Equation in Paramagnetic Material,"Radiative Transfer Equation in Paramagnetic Material: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
791,Radiative Transfer Equation in Diamagnetic Material,"Radiative Transfer Equation in Diamagnetic Material: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
792,Radiative Transfer Equation in Metamaterial,"Radiative Transfer Equation in Metamaterial: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
793,Radiative Transfer Equation with Dirichlet Boundary Conditions,"Radiative Transfer Equation with Dirichlet Boundary Conditions: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
794,Radiative Transfer Equation with Neumann Boundary Conditions,"Radiative Transfer Equation with Neumann Boundary Conditions: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
795,Radiative Transfer Equation with Periodic Boundary Conditions,"Radiative Transfer Equation with Periodic Boundary Conditions: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
796,Radiative Transfer Equation with Mixed Boundary Conditions,"Radiative Transfer Equation with Mixed Boundary Conditions: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
797,Radiative Transfer Equation with Radiation Boundary,"Radiative Transfer Equation with Radiation Boundary: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
798,Radiative Transfer Equation with Perfect Conductor Boundary,"Radiative Transfer Equation with Perfect Conductor Boundary: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
799,Transport Equation in Spherical Shell,"Transport Equation in Spherical Shell: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
800,Transport Equation in Infinite Plane,"Transport Equation in Infinite Plane: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
801,Transport Equation in Long Solenoid,"Transport Equation in Long Solenoid: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
802,Transport Equation in Toroid,"Transport Equation in Toroid: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
803,Transport Equation in Coaxial Cable,"Transport Equation in Coaxial Cable: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
804,Transport Equation in Parallel Plate,"Transport Equation in Parallel Plate: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
805,Transport Equation in Cylindrical Cavity,"Transport Equation in Cylindrical Cavity: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
806,Transport Equation in Rectangular Waveguide,"Transport Equation in Rectangular Waveguide: definition, governing equations, and typical applications.","Example: m=2 kg, v=3 m/s ⇒ K=½mv²=9 J; with F=10 N ⇒ a=5 m/s²."
807,Transport Equation in Fabry–Pérot Cavity,"Transport Equation in Fabry–Pérot Cavity: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
808,Transport Equation in Spherical Cavity,"Transport Equation in Spherical Cavity: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
809,Transport Equation in Cylindrical Shell,"Transport Equation in Cylindrical Shell: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
810,Transport Equation in Spherical Capacitor,"Transport Equation in Spherical Capacitor: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
811,Transport Equation in Coil Pair (Helmholtz),"Transport Equation in Coil Pair (Helmholtz): definition, governing equations, and typical applications.","Ideal gas: pV=nRT. Example: n=1 mol, T=300 K, V=0.024 m³ ⇒ p≈1.04×10⁵ Pa."
812,Transport Equation in Dipole Field,"Transport Equation in Dipole Field: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
813,Transport Equation in Quadrupole Field,"Transport Equation in Quadrupole Field: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
814,Transport Equation in Vacuum,"Transport Equation in Vacuum: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
815,Transport Equation in Dielectric Medium,"Transport Equation in Dielectric Medium: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
816,Transport Equation in Conducting Medium,"Transport Equation in Conducting Medium: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
817,Transport Equation in Anisotropic Medium,"Transport Equation in Anisotropic Medium: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
818,Transport Equation in Superconductor,"Transport Equation in Superconductor: definition, governing equations, and typical applications.",Semiconductor diode: I≈I₀(e^{qV/kT}−1). Example: V=0.7 V at 300 K ⇒ forward conduction.
819,Transport Equation in Plasma,"Transport Equation in Plasma: definition, governing equations, and typical applications.","Debye length: λ_D=√(ε₀kT/(n_e e²)). Example: n_e=10¹⁶ m⁻³, T=10⁴ K ⇒ λ_D ~ 2×10⁻⁵ m."
820,Transport Equation in Semiconductor,"Transport Equation in Semiconductor: definition, governing equations, and typical applications.",Semiconductor diode: I≈I₀(e^{qV/kT}−1). Example: V=0.7 V at 300 K ⇒ forward conduction.
821,Transport Equation in Ferromagnetic Material,"Transport Equation in Ferromagnetic Material: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
822,Transport Equation in Paramagnetic Material,"Transport Equation in Paramagnetic Material: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
823,Transport Equation in Diamagnetic Material,"Transport Equation in Diamagnetic Material: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
824,Transport Equation in Metamaterial,"Transport Equation in Metamaterial: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
825,Transport Equation with Dirichlet Boundary Conditions,"Transport Equation with Dirichlet Boundary Conditions: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
826,Transport Equation with Neumann Boundary Conditions,"Transport Equation with Neumann Boundary Conditions: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
827,Transport Equation with Periodic Boundary Conditions,"Transport Equation with Periodic Boundary Conditions: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
828,Transport Equation with Mixed Boundary Conditions,"Transport Equation with Mixed Boundary Conditions: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
829,Transport Equation with Radiation Boundary,"Transport Equation with Radiation Boundary: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
830,Transport Equation with Perfect Conductor Boundary,"Transport Equation with Perfect Conductor Boundary: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
831,Friedmann Equations in Spherical Shell,"Friedmann Equations in Spherical Shell: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
832,Friedmann Equations in Infinite Plane,"Friedmann Equations in Infinite Plane: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
833,Friedmann Equations in Long Solenoid,"Friedmann Equations in Long Solenoid: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
834,Friedmann Equations in Toroid,"Friedmann Equations in Toroid: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
835,Friedmann Equations in Coaxial Cable,"Friedmann Equations in Coaxial Cable: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
836,Friedmann Equations in Parallel Plate,"Friedmann Equations in Parallel Plate: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
837,Friedmann Equations in Cylindrical Cavity,"Friedmann Equations in Cylindrical Cavity: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
838,Friedmann Equations in Rectangular Waveguide,"Friedmann Equations in Rectangular Waveguide: definition, governing equations, and typical applications.","Example: m=2 kg, v=3 m/s ⇒ K=½mv²=9 J; with F=10 N ⇒ a=5 m/s²."
839,Friedmann Equations in Fabry–Pérot Cavity,"Friedmann Equations in Fabry–Pérot Cavity: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
840,Friedmann Equations in Spherical Cavity,"Friedmann Equations in Spherical Cavity: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
841,Friedmann Equations in Cylindrical Shell,"Friedmann Equations in Cylindrical Shell: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
842,Friedmann Equations in Spherical Capacitor,"Friedmann Equations in Spherical Capacitor: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
843,Friedmann Equations in Coil Pair (Helmholtz),"Friedmann Equations in Coil Pair (Helmholtz): definition, governing equations, and typical applications.","Ideal gas: pV=nRT. Example: n=1 mol, T=300 K, V=0.024 m³ ⇒ p≈1.04×10⁵ Pa."
844,Friedmann Equations in Dipole Field,"Friedmann Equations in Dipole Field: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
845,Friedmann Equations in Quadrupole Field,"Friedmann Equations in Quadrupole Field: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
846,Friedmann Equations in Vacuum,"Friedmann Equations in Vacuum: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
847,Friedmann Equations in Dielectric Medium,"Friedmann Equations in Dielectric Medium: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
848,Friedmann Equations in Conducting Medium,"Friedmann Equations in Conducting Medium: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
849,Friedmann Equations in Anisotropic Medium,"Friedmann Equations in Anisotropic Medium: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
850,Friedmann Equations in Superconductor,"Friedmann Equations in Superconductor: definition, governing equations, and typical applications.",Semiconductor diode: I≈I₀(e^{qV/kT}−1). Example: V=0.7 V at 300 K ⇒ forward conduction.
851,Friedmann Equations in Plasma,"Friedmann Equations in Plasma: definition, governing equations, and typical applications.","Debye length: λ_D=√(ε₀kT/(n_e e²)). Example: n_e=10¹⁶ m⁻³, T=10⁴ K ⇒ λ_D ~ 2×10⁻⁵ m."
852,Friedmann Equations in Semiconductor,"Friedmann Equations in Semiconductor: definition, governing equations, and typical applications.",Semiconductor diode: I≈I₀(e^{qV/kT}−1). Example: V=0.7 V at 300 K ⇒ forward conduction.
853,Friedmann Equations in Ferromagnetic Material,"Friedmann Equations in Ferromagnetic Material: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
854,Friedmann Equations in Paramagnetic Material,"Friedmann Equations in Paramagnetic Material: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
855,Friedmann Equations in Diamagnetic Material,"Friedmann Equations in Diamagnetic Material: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
856,Friedmann Equations in Metamaterial,"Friedmann Equations in Metamaterial: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
857,Friedmann Equations with Dirichlet Boundary Conditions,"Friedmann Equations with Dirichlet Boundary Conditions: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
858,Friedmann Equations with Neumann Boundary Conditions,"Friedmann Equations with Neumann Boundary Conditions: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
859,Friedmann Equations with Periodic Boundary Conditions,"Friedmann Equations with Periodic Boundary Conditions: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
860,Friedmann Equations with Mixed Boundary Conditions,"Friedmann Equations with Mixed Boundary Conditions: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
861,Friedmann Equations with Radiation Boundary,"Friedmann Equations with Radiation Boundary: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
862,Friedmann Equations with Perfect Conductor Boundary,"Friedmann Equations with Perfect Conductor Boundary: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
863,Tolman–Oppenheimer–Volkoff Equation in Spherical Shell,"Tolman–Oppenheimer–Volkoff Equation in Spherical Shell: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
864,Tolman–Oppenheimer–Volkoff Equation in Infinite Plane,"Tolman–Oppenheimer–Volkoff Equation in Infinite Plane: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
865,Tolman–Oppenheimer–Volkoff Equation in Long Solenoid,"Tolman–Oppenheimer–Volkoff Equation in Long Solenoid: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
866,Tolman–Oppenheimer–Volkoff Equation in Toroid,"Tolman–Oppenheimer–Volkoff Equation in Toroid: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
867,Tolman–Oppenheimer–Volkoff Equation in Coaxial Cable,"Tolman–Oppenheimer–Volkoff Equation in Coaxial Cable: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
868,Tolman–Oppenheimer–Volkoff Equation in Parallel Plate,"Tolman–Oppenheimer–Volkoff Equation in Parallel Plate: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
869,Tolman–Oppenheimer–Volkoff Equation in Cylindrical Cavity,"Tolman–Oppenheimer–Volkoff Equation in Cylindrical Cavity: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
870,Tolman–Oppenheimer–Volkoff Equation in Rectangular Waveguide,"Tolman–Oppenheimer–Volkoff Equation in Rectangular Waveguide: definition, governing equations, and typical applications.","Example: m=2 kg, v=3 m/s ⇒ K=½mv²=9 J; with F=10 N ⇒ a=5 m/s²."
871,Tolman–Oppenheimer–Volkoff Equation in Fabry–Pérot Cavity,"Tolman–Oppenheimer–Volkoff Equation in Fabry–Pérot Cavity: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
872,Tolman–Oppenheimer–Volkoff Equation in Spherical Cavity,"Tolman–Oppenheimer–Volkoff Equation in Spherical Cavity: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
873,Tolman–Oppenheimer–Volkoff Equation in Cylindrical Shell,"Tolman–Oppenheimer–Volkoff Equation in Cylindrical Shell: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
874,Tolman–Oppenheimer–Volkoff Equation in Spherical Capacitor,"Tolman–Oppenheimer–Volkoff Equation in Spherical Capacitor: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
875,Tolman–Oppenheimer–Volkoff Equation in Coil Pair (Helmholtz),"Tolman–Oppenheimer–Volkoff Equation in Coil Pair (Helmholtz): definition, governing equations, and typical applications.","Ideal gas: pV=nRT. Example: n=1 mol, T=300 K, V=0.024 m³ ⇒ p≈1.04×10⁵ Pa."
876,Tolman–Oppenheimer–Volkoff Equation in Dipole Field,"Tolman–Oppenheimer–Volkoff Equation in Dipole Field: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
877,Tolman–Oppenheimer–Volkoff Equation in Quadrupole Field,"Tolman–Oppenheimer–Volkoff Equation in Quadrupole Field: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
878,Tolman–Oppenheimer–Volkoff Equation in Vacuum,"Tolman–Oppenheimer–Volkoff Equation in Vacuum: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
879,Tolman–Oppenheimer–Volkoff Equation in Dielectric Medium,"Tolman–Oppenheimer–Volkoff Equation in Dielectric Medium: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
880,Tolman–Oppenheimer–Volkoff Equation in Conducting Medium,"Tolman–Oppenheimer–Volkoff Equation in Conducting Medium: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
881,Tolman–Oppenheimer–Volkoff Equation in Anisotropic Medium,"Tolman–Oppenheimer–Volkoff Equation in Anisotropic Medium: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
882,Tolman–Oppenheimer–Volkoff Equation in Superconductor,"Tolman–Oppenheimer–Volkoff Equation in Superconductor: definition, governing equations, and typical applications.",Semiconductor diode: I≈I₀(e^{qV/kT}−1). Example: V=0.7 V at 300 K ⇒ forward conduction.
883,Tolman–Oppenheimer–Volkoff Equation in Plasma,"Tolman–Oppenheimer–Volkoff Equation in Plasma: definition, governing equations, and typical applications.","Debye length: λ_D=√(ε₀kT/(n_e e²)). Example: n_e=10¹⁶ m⁻³, T=10⁴ K ⇒ λ_D ~ 2×10⁻⁵ m."
884,Tolman–Oppenheimer–Volkoff Equation in Semiconductor,"Tolman–Oppenheimer–Volkoff Equation in Semiconductor: definition, governing equations, and typical applications.",Semiconductor diode: I≈I₀(e^{qV/kT}−1). Example: V=0.7 V at 300 K ⇒ forward conduction.
885,Tolman–Oppenheimer–Volkoff Equation in Ferromagnetic Material,"Tolman–Oppenheimer–Volkoff Equation in Ferromagnetic Material: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
886,Tolman–Oppenheimer–Volkoff Equation in Paramagnetic Material,"Tolman–Oppenheimer–Volkoff Equation in Paramagnetic Material: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
887,Tolman–Oppenheimer–Volkoff Equation in Diamagnetic Material,"Tolman–Oppenheimer–Volkoff Equation in Diamagnetic Material: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
888,Tolman–Oppenheimer–Volkoff Equation in Metamaterial,"Tolman–Oppenheimer–Volkoff Equation in Metamaterial: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
889,Tolman–Oppenheimer–Volkoff Equation with Dirichlet Boundary Conditions,"Tolman–Oppenheimer–Volkoff Equation with Dirichlet Boundary Conditions: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
890,Tolman–Oppenheimer–Volkoff Equation with Neumann Boundary Conditions,"Tolman–Oppenheimer–Volkoff Equation with Neumann Boundary Conditions: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
891,Tolman–Oppenheimer–Volkoff Equation with Periodic Boundary Conditions,"Tolman–Oppenheimer–Volkoff Equation with Periodic Boundary Conditions: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
892,Tolman–Oppenheimer–Volkoff Equation with Mixed Boundary Conditions,"Tolman–Oppenheimer–Volkoff Equation with Mixed Boundary Conditions: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
893,Tolman–Oppenheimer–Volkoff Equation with Radiation Boundary,"Tolman–Oppenheimer–Volkoff Equation with Radiation Boundary: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
894,Tolman–Oppenheimer–Volkoff Equation with Perfect Conductor Boundary,"Tolman–Oppenheimer–Volkoff Equation with Perfect Conductor Boundary: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
895,Kepler Problem in Spherical Shell,"Kepler Problem in Spherical Shell: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
896,Kepler Problem in Infinite Plane,"Kepler Problem in Infinite Plane: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
897,Kepler Problem in Long Solenoid,"Kepler Problem in Long Solenoid: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
898,Kepler Problem in Toroid,"Kepler Problem in Toroid: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
899,Kepler Problem in Coaxial Cable,"Kepler Problem in Coaxial Cable: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
900,Kepler Problem in Parallel Plate,"Kepler Problem in Parallel Plate: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
901,Kepler Problem in Cylindrical Cavity,"Kepler Problem in Cylindrical Cavity: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
902,Kepler Problem in Rectangular Waveguide,"Kepler Problem in Rectangular Waveguide: definition, governing equations, and typical applications.","Example: m=2 kg, v=3 m/s ⇒ K=½mv²=9 J; with F=10 N ⇒ a=5 m/s²."
903,Kepler Problem in Fabry–Pérot Cavity,"Kepler Problem in Fabry–Pérot Cavity: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
904,Kepler Problem in Spherical Cavity,"Kepler Problem in Spherical Cavity: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
905,Kepler Problem in Cylindrical Shell,"Kepler Problem in Cylindrical Shell: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
906,Kepler Problem in Spherical Capacitor,"Kepler Problem in Spherical Capacitor: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
907,Kepler Problem in Coil Pair (Helmholtz),"Kepler Problem in Coil Pair (Helmholtz): definition, governing equations, and typical applications.","Ideal gas: pV=nRT. Example: n=1 mol, T=300 K, V=0.024 m³ ⇒ p≈1.04×10⁵ Pa."
908,Kepler Problem in Dipole Field,"Kepler Problem in Dipole Field: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
909,Kepler Problem in Quadrupole Field,"Kepler Problem in Quadrupole Field: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
910,Kepler Problem in Vacuum,"Kepler Problem in Vacuum: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
911,Kepler Problem in Dielectric Medium,"Kepler Problem in Dielectric Medium: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
912,Kepler Problem in Conducting Medium,"Kepler Problem in Conducting Medium: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
913,Kepler Problem in Anisotropic Medium,"Kepler Problem in Anisotropic Medium: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
914,Kepler Problem in Superconductor,"Kepler Problem in Superconductor: definition, governing equations, and typical applications.",Semiconductor diode: I≈I₀(e^{qV/kT}−1). Example: V=0.7 V at 300 K ⇒ forward conduction.
915,Kepler Problem in Plasma,"Kepler Problem in Plasma: definition, governing equations, and typical applications.","Debye length: λ_D=√(ε₀kT/(n_e e²)). Example: n_e=10¹⁶ m⁻³, T=10⁴ K ⇒ λ_D ~ 2×10⁻⁵ m."
916,Kepler Problem in Semiconductor,"Kepler Problem in Semiconductor: definition, governing equations, and typical applications.",Semiconductor diode: I≈I₀(e^{qV/kT}−1). Example: V=0.7 V at 300 K ⇒ forward conduction.
917,Kepler Problem in Ferromagnetic Material,"Kepler Problem in Ferromagnetic Material: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
918,Kepler Problem in Paramagnetic Material,"Kepler Problem in Paramagnetic Material: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
919,Kepler Problem in Diamagnetic Material,"Kepler Problem in Diamagnetic Material: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
920,Kepler Problem in Metamaterial,"Kepler Problem in Metamaterial: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
921,Kepler Problem with Dirichlet Boundary Conditions,"Kepler Problem with Dirichlet Boundary Conditions: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
922,Kepler Problem with Neumann Boundary Conditions,"Kepler Problem with Neumann Boundary Conditions: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
